R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,R_fighter,B_fighter,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Dustin Poirier,Conor McGregor,250,-305,250,32.78688525,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Lightweight,MALE,5,0,1,0,5.43,0.49,0,0.75,0.62,7,2,25,4,1,0,1,8,0,0,10,Southpaw,175.26,187.96,155,0,1,0,5.57,0.5,1.3,1.46,0.35,5,6,62,2,1,0,6,9,3,0,19,Southpaw,175.26,182.88,155,32,32,0,0,2,-9,-4,-37,2,-1,-3,0,5.08,0,-0.14,-1.3,-0.71,0,1,Dustin Poirier,Conor McGregor,4,2,,,,,,,,,2,,,,,,,,,,,,,4,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Hooker,Michael Chandler,-134,105,74.62686567,105,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Lightweight,MALE,3,0,2,0,4.08,0.47,1.5,2.57,0.41,2,0,3,0,0,0,0,1,1,0,2,Orthodox,172.72,180.34,155,1,0,0,4.98,0.48,0.3,0.74,0.34,4,5,37,0,0,1,1,6,2,0,10,Switch,182.88,190.5,155,30,34,-1,2,-2,-8,-5,-34,0,-5,-1,-10.16,-10.16,4,-0.9,1.2,1.83,0,1,Dan Hooker,Michael Chandler,,6,,,,,,,,,6,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessica Eye,Joanne Calderwood,-105,-117,95.23809524,85.47008547,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Women's Flyweight,FEMALE,3,1,0,0,6.17,0.48,0.5,1.9,0.57,2,5,25,0,0,1,3,1,1,0,6,Orthodox,167.64,165.1,125,1,0,0,3.65,0.36,0.6,0.4,0.45,3,7,39,1,0,2,2,1,0,0,5,Orthodox,167.64,167.64,125,34,35,0,0,-1,1,-2,-14,-1,0,1,0,-2.54,1,2.52,-0.1,1.5,0,1,Jessica Eye,Joanne Calderwood,7,6,6,,,,,,,,,,,,,7,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Sanchez,Makhmud Muradov,115,-143,115,69.93006993,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Middleweight,MALE,3,0,2,0,4.97,0.41,0.5,0.51,0.25,2,0,6,0,0,0,1,1,0,0,2,Orthodox,187.96,190.5,185,0,1,0,4.57,0.44,0,2.16,0.32,2,3,22,0,0,0,4,1,0,0,5,Orthodox,185.42,187.96,185,32,30,0,1,0,-3,-3,-16,0,0,0,2.54,2.54,-2,0.4,0.5,-1.65,0,1,Andrew Sanchez,Makhmud Muradov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marina Rodriguez,Amanda Ribas,250,-335,250,29.85074627,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Women's Strawweight,FEMALE,3,0,4,0,4.71,0.45,1.9,2.28,0.54,4,0,9,0,0,0,2,0,2,0,4,Orthodox,160.02,167.64,125,1,0,2,5.04,0.5,0.2,0.38,0.33,2,1,16,0,0,0,2,1,0,0,3,Orthodox,167.64,165.1,115,33,27,-1,4,2,1,-1,-7,0,-1,2,-7.62,2.54,-6,-0.33,1.7,1.9,0,1,Marina Rodriguez,Amanda Ribas,10,8,,,8,,,,,,,,,,,,,10,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Tavares,Antonio Carlos Junior,-134,105,74.62686567,105,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Middleweight,MALE,3,2,0,0,1.91,0.44,0.9,3.7,0.44,5,4,29,0,0,0,2,0,5,0,7,Orthodox,187.96,200.66,185,2,0,0,3,0.4,0,1.03,0.27,5,6,49,0,0,2,8,2,0,0,12,Orthodox,185.42,187.96,185,33,30,0,0,0,-5,-2,-20,0,-2,5,2.54,12.7,-3,-1.09,0.9,2.67,0,1,Brad Tavares,Antonio Carlos Junior,,14,,,,,,,14,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julianna Pena,Sara McMann,105,-130,105,76.92307692,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Women's Bantamweight,FEMALE,3,0,1,0,2.39,0.46,0.6,4.51,0.63,5,5,34,1,0,1,5,1,3,0,10,Orthodox,167.64,167.64,135,1,0,0,2.8,0.47,0.8,2.73,0.51,4,2,16,0,0,0,3,2,0,0,5,Orthodox,167.64,175.26,135,31,40,-1,1,1,5,3,18,1,-1,3,0,-7.62,9,-0.41,-0.2,1.78,0,1,Julianna Pena,Sara McMann,9,7,,,,7,,,,,,,,,,,,,9,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalil Rountree Jr.,Marcin Prachnio,-335,250,29.85074627,250,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Light Heavyweight,MALE,3,3,0,0,3.26,0.48,0,0,0,0,3,3,0,0,0,0,0,0,0,0,Orthodox,190.5,187.96,205,1,0,0,3.01,0.4,0.2,0,0,3,4,15,0,0,0,1,3,0,0,4,Southpaw,185.42,193.04,205,30,32,2,0,-3,-4,-1,-12,0,-3,0,5.08,-5.08,2,0.25,-0.2,0,0,1,Khalil Rountree Jr.,Marcin Prachnio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nik Lentz,Movsar Evloev,390,-560,390,17.85714286,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Catch Weight,MALE,3,0,3,0,4.44,0.43,0,3,0.33,3,0,9,0,0,0,3,0,0,0,3,Orthodox,170.18,182.88,145,2,0,1,3.46,0.48,1.2,3.41,0.33,4,8,64,0,0,2,7,3,2,0,14,Orthodox,172.72,172.72,145,36,26,-2,3,-1,-11,-8,-55,0,-3,-2,-2.54,10.16,-10,0.98,-1.2,-0.41,0,1,Nik Lentz,Movsar Evloev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amir Albazi,Zhalgas Zhumagulov,-106,-118,94.33962264,84.74576271,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Flyweight,MALE,3,1,0,0,4.4,0.55,0,2,0.18,0,1,3,0,0,0,0,0,0,0,0,Switch,162.56,167.64,125,0,1,0,2.55,0.42,3.2,3.19,1,1,0,1,0,0,0,0,0,1,0,1,Orthodox,165.1,172.72,125,27,32,1,-1,-1,-1,1,2,0,0,-1,-2.54,-5.08,5,1.85,-3.2,-1.19,0,1,Amir Albazi,Zhalgas Zhumagulov,,15,,,,,,,,,,,,15,,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
